index,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Years Active,Renewals per Checkouts,User Count,Average_Checkouts
4201,ADULT,9,0,25-34,Main Library,January,2014,email,True,2012,False,2,0.0,1242,0.007246376811594203
2795,SENIOR,41,0,75+,Chinatown,January,2013,print,False,2012,False,1,0.0,194,0.211340206185567
2929,JUVENILE,63,1,0-9,Mission,January,2014,print,False,2012,False,2,0.02,350,0.18
2801,ADULT,3,0,45-54,Chinatown,January,2014,print,False,2010,False,4,0.0,194,0.015463917525773196
2318,ADULT,6,7,35-44,Main Library,January,2014,email,True,2013,False,1,1.17,1242,0.004830917874396135
2806,ADULT,12,0,55-59,Chinatown,January,2013,print,False,2012,False,1,0.0,194,0.061855670103092786
3024,ADULT,35,13,55-59,Chinatown,January,2015,email,True,2010,False,5,0.37,194,0.18041237113402062
2255,ADULT,64,6,25-34,Main Library,January,2014,email,True,2006,False,8,0.09,1242,0.05152979066022544
3155,ADULT,106,6,45-54,Chinatown,January,2014,phone,False,2005,False,9,0.06,194,0.5463917525773195
557,ADULT,46,1,35-44,Main Library,January,2014,email,True,2006,False,8,0.02,1242,0.037037037037037035
2734,JUVENILE,8,0,0-9,Mission,January,2015,phone,False,2014,False,1,0.0,350,0.022857142857142857
2226,ADULT,14,0,35-44,Main Library,January,2014,email,True,2012,False,2,0.0,1242,0.011272141706924315
3422,ADULT,56,19,45-54,Chinatown,January,2014,phone,True,2010,False,4,0.34,194,0.28865979381443296
3550,ADULT,221,44,45-54,Chinatown,January,2015,phone,False,2010,False,5,0.2,194,1.1391752577319587
606,ADULT,0,0,25-34,Main Library,January,2015,print,False,2015,False,0,0.0,1242,0.0
610,ADULT,3,5,25-34,Main Library,January,2014,print,False,2013,False,1,1.67,1242,0.0024154589371980675
2131,JUVENILE,75,14,0-9,Main Library,January,2014,email,True,2013,False,1,0.19,1242,0.06038647342995169
615,ADULT,9,0,35-44,Main Library,January,2013,email,True,2013,False,0,0.0,1242,0.007246376811594203
3758,ADULT,4,8,35-44,Chinatown,January,2013,email,True,2012,False,1,2.0,194,0.020618556701030927
3888,SENIOR,359,20,65-74,Chinatown,January,2014,phone,False,2009,False,5,0.06,194,1.8505154639175259
